Area,Type,Annual_Avg_AQI,Price_per_sqft,Green_Space_%,Metro_Access,IT_Hub_Distance_km,Hospital_Distance_km,School_Rating,Connectivity_Score,Safety_Score,AQI_Category,Price_Category,Green_Category,Livability_Score
Lavelle Road,Central,81,36781,11,TRUE,12,1,4.8,10,9,Good,Luxury,Low,50.4
Mahadevapura,Tech Hub,104,13576,7.9,TRUE,1,6,3.8,6,6,Moderate,Mid-Range,Low,29.6
Majestic,Central,128,12725,3,TRUE,18,1,3,9,4,Moderate,Mid-Range,Low,22
Malleswaram,Central,82,20607,27.3,TRUE,15,3,4.8,7,9,Good,Premium,Medium,48.8
Marathahalli,Tech Hub,120,17887,4.4,TRUE,2,3,4.1,8,7,Moderate,Mid-Range,Low,30.8
Nagarbhavi,Suburban,97,11248,29.1,FALSE,22,5,3.9,5,7,Good,Budget,Medium,36.4
Nandini Layout,Suburban,90,8256,34,FALSE,32,8,3.6,3,7,Good,Budget,High,35.2
Nelamangala,Industrial,141,7004,3,FALSE,35,8,3.2,3,5,Moderate,Budget,Low,11.4
Peenya,Industrial,149,9034,3,TRUE,25,6,3.3,5,5,Moderate,Budget,Low,12.8
RT Nagar,Central,87,17842,14.5,TRUE,20,4,4.2,6,7,Good,Mid-Range,Low,38.2
Rajajinagar,Central,103,16733,16.2,TRUE,18,4,4.1,7,7,Moderate,Mid-Range,Medium,35.8
Rajajinagar Industrial Area,Industrial,149,8755,3,TRUE,25,6,3,4,5,Moderate,Budget,Low,10.8
Ramamurthy Nagar,Developing,112,12942,11.3,TRUE,20,6,3.7,5,6,Moderate,Mid-Range,Low,26.6
Richmond Town,Central,84,29581,17.9,TRUE,10,1,4.6,9,8,Good,Premium,Medium,47.2
Sadashivanagar,Central,80,32476,40,FALSE,18,3,4.9,6,10,Good,Luxury,High,52.5
Sahakara Nagar,Suburban,91,10059,38.7,FALSE,25,6,3.8,4,8,Good,Budget,High,40
Sampangiram Nagar,Central,98,15319,10.2,TRUE,16,3,4,7,6,Good,Mid-Range,Low,33.7
Sanjay Nagar,Suburban,86,11874,37.6,FALSE,24,5,3.9,5,8,Good,Budget,High,42.8
Sarjapur Road,Tech Hub,120,17900,12.7,TRUE,4,4,4.3,7,7,Moderate,Mid-Range,Low,31.2
Seshadripuram,Central,92,18131,8.4,TRUE,17,3,4.2,7,7,Good,Mid-Range,Low,37.3
Shivajinagar,Central,122,19676,4.8,TRUE,16,1,4,8,6,Moderate,Mid-Range,Low,28.4
Thanisandra,Suburban,89,11130,35.4,FALSE,28,6,4,4,8,Good,Budget,High,40.2
Thindlu,Suburban,84,10382,41.5,FALSE,32,8,3.8,3,8,Good,Budget,High,40.6
Ulsoor,Central,90,23495,19.9,TRUE,10,1,4.3,8,7,Good,Premium,Medium,42
Vasanth Nagar,Central,86,27531,18.5,TRUE,13,2,4.5,8,8,Good,Premium,Medium,45
Vidyaranyapura,Suburban,83,9764,42.6,FALSE,30,7,3.9,4,8,Good,Budget,High,42.9
Vijayanagar,Central,103,15017,10.3,TRUE,20,4,3.9,6,6,Moderate,Mid-Range,Low,30.7
Whitefield,Industrial,126,15129,3,TRUE,2,4,4.1,8,7,Moderate,Mid-Range,Low,28.9
Yelahanka,Suburban,97,10433,31.7,FALSE,25,5,4,5,8,Good,Budget,High,39.1
Yelahanka New Town,Suburban,87,12341,40.9,FALSE,24,5,4,5,8,Good,Mid-Range,High,43.4
Yeshwanthpur,Industrial,123,12578,3,TRUE,22,4,3.7,8,6,Moderate,Mid-Range,Low,26.8
